Job,Age,Salary,Marital,Education,Housing,Loan,Age_Bucket,,,,,,Response
self-employed,28,60000,married,secondary,yes,yes,2,,,,,,yes
technician,38,60000,single,secondary,yes,no,3,,,,,,yes
services,35,70000,single,secondary,yes,no,3,,,,,,yes
admin.,28,50000,single,secondary,yes,yes,2,,,,,,yes
unemployed,29,8000,single,tertiary,yes,no,2,,,,,,yes
blue-collar,20,20000,single,secondary,yes,no,2,,,,,,yes
blue-collar,42,20000,married,secondary,yes,no,4,,,,,,yes
admin.,45,50000,divorced,secondary,yes,yes,4,,,,,,yes
management,37,100000,married,tertiary,no,no,3,,,,,,yes
technician,32,60000,single,tertiary,no,no,3,,,,,,yes
admin.,59,50000,married,secondary,no,no,5,,,,,,yes
management,55,100000,married,unknown,yes,no,5,,,,,,yes
management,29,100000,single,tertiary,no,no,2,,,,,,yes
services,37,70000,married,secondary,yes,no,3,,,,,,yes
management,59,100000,married,tertiary,no,no,5,,,,,,yes
technician,27,60000,divorced,secondary,yes,no,2,,,,,,yes
management,39,100000,single,tertiary,yes,no,3,,,,,,yes
services,43,70000,married,secondary,no,no,4,,,,,,yes
technician,39,60000,married,secondary,no,no,3,,,,,,yes
student,26,4000,single,secondary,no,no,2,,,,,,yes
management,39,100000,single,tertiary,no,no,3,,,,,,yes
management,43,100000,divorced,unknown,no,no,4,,,,,,yes
student,27,4000,single,tertiary,yes,no,2,,,,,,yes
services,32,70000,single,secondary,no,no,3,,,,,,yes
management,29,100000,single,tertiary,no,no,2,,,,,,yes
management,42,100000,married,primary,yes,no,4,,,,,,yes
blue-collar,53,20000,married,unknown,no,no,5,,,,,,yes
management,36,100000,married,tertiary,no,no,3,,,,,,yes
management,27,100000,single,tertiary,yes,no,2,,,,,,yes
admin.,43,50000,single,secondary,yes,no,4,,,,,,yes
self-employed,28,60000,single,tertiary,no,no,2,,,,,,yes
retired,60,55000,divorced,tertiary,no,yes,6,,,,,,yes
technician,29,60000,single,secondary,no,no,2,,,,,,yes
technician,35,60000,single,secondary,yes,no,3,,,,,,yes
blue-collar,26,20000,single,tertiary,no,no,2,,,,,,yes
student,26,4000,single,unknown,no,no,2,,,,,,yes
unemployed,28,8000,married,tertiary,no,no,2,,,,,,yes
student,26,4000,single,tertiary,yes,no,2,,,,,,yes
management,36,100000,single,tertiary,no,no,3,,,,,,yes
technician,28,60000,single,tertiary,no,no,2,,,,,,yes
technician,28,60000,single,tertiary,yes,no,2,,,,,,yes
management,28,100000,single,tertiary,no,no,2,,,,,,yes
technician,40,60000,married,secondary,no,no,4,,,,,,yes
blue-collar,24,20000,single,secondary,no,yes,2,,,,,,yes
retired,56,55000,divorced,tertiary,no,no,5,,,,,,yes
management,34,100000,single,tertiary,no,no,3,,,,,,yes
admin.,28,50000,single,secondary,yes,no,2,,,,,,yes
services,37,70000,married,secondary,yes,yes,3,,,,,,yes
services,32,70000,single,secondary,yes,no,3,,,,,,yes
technician,43,60000,divorced,secondary,no,no,4,,,,,,yes
technician,36,60000,married,tertiary,yes,yes,3,,,,,,yes
admin.,29,50000,married,tertiary,no,no,2,,,,,,yes
unemployed,54,8000,married,secondary,no,no,5,,,,,,yes
services,39,70000,married,secondary,no,no,3,,,,,,yes
technician,35,60000,single,secondary,yes,no,3,,,,,,yes
technician,29,60000,single,secondary,no,no,2,,,,,,yes
technician,32,60000,single,tertiary,yes,no,3,,,,,,yes
student,27,4000,single,secondary,no,no,2,,,,,,yes
technician,32,60000,single,tertiary,yes,no,3,,,,,,yes
technician,33,60000,single,tertiary,yes,yes,3,,,,,,yes
student,24,4000,single,secondary,no,no,2,,,,,,yes
technician,58,60000,married,secondary,no,no,5,,,,,,yes
management,43,100000,married,tertiary,no,no,4,,,,,,yes
management,26,100000,married,tertiary,no,no,2,,,,,,yes
technician,31,60000,single,secondary,no,no,3,,,,,,yes
management,25,100000,single,tertiary,no,no,2,,,,,,yes
retired,58,55000,married,secondary,no,no,5,,,,,,yes
technician,34,60000,married,tertiary,no,no,3,,,,,,yes
management,48,100000,divorced,tertiary,yes,no,4,,,,,,yes
retired,60,55000,married,tertiary,no,no,6,,,,,,yes
technician,21,60000,single,unknown,no,no,2,,,,,,yes
student,25,4000,single,tertiary,no,no,2,,,,,,yes
student,26,4000,single,secondary,no,no,2,,,,,,yes
management,38,100000,married,unknown,no,no,3,,,,,,yes
student,25,4000,single,secondary,no,no,2,,,,,,yes
student,26,4000,single,tertiary,no,no,2,,,,,,yes
student,25,4000,single,unknown,no,no,2,,,,,,yes
management,32,100000,single,tertiary,no,no,3,,,,,,yes
admin.,25,50000,married,tertiary,no,no,2,,,,,,yes
admin.,21,50000,single,secondary,no,no,2,,,,,,yes
self-employed,41,60000,single,tertiary,no,no,4,,,,,,yes
admin.,30,50000,single,secondary,yes,no,3,,,,,,yes
admin.,47,50000,divorced,secondary,no,no,4,,,,,,yes
admin.,37,50000,married,secondary,no,no,3,,,,,,yes
admin.,34,50000,married,secondary,yes,no,3,,,,,,yes
admin.,28,50000,single,secondary,no,no,2,,,,,,yes
admin.,24,50000,single,tertiary,yes,no,2,,,,,,yes
admin.,26,50000,single,secondary,no,no,2,,,,,,yes
blue-collar,32,20000,married,secondary,yes,no,3,,,,,,yes
management,30,100000,single,tertiary,no,no,3,,,,,,yes
self-employed,54,60000,single,tertiary,no,yes,5,,,,,,yes
technician,35,60000,married,secondary,no,no,3,,,,,,yes
retired,54,55000,divorced,tertiary,no,no,5,,,,,,yes
management,44,100000,married,tertiary,no,no,4,,,,,,yes
admin.,56,50000,single,secondary,no,no,5,,,,,,yes
admin.,25,50000,single,tertiary,yes,no,2,,,,,,yes
student,25,4000,single,unknown,no,no,2,,,,,,yes
admin.,43,50000,married,secondary,no,no,4,,,,,,yes
management,50,100000,married,tertiary,no,no,5,,,,,,yes
technician,25,60000,single,secondary,yes,no,2,,,,,,yes
admin.,55,50000,married,secondary,no,no,5,,,,,,yes
management,57,100000,married,tertiary,no,no,5,,,,,,yes
management,48,100000,married,tertiary,yes,yes,4,,,,,,yes
unemployed,25,8000,single,tertiary,no,no,2,,,,,,yes
management,49,100000,married,tertiary,yes,no,4,,,,,,yes
technician,25,60000,single,secondary,no,no,2,,,,,,yes
housemaid,38,16000,divorced,secondary,no,no,3,,,,,,yes
blue-collar,45,20000,married,secondary,no,no,4,,,,,,yes
management,33,100000,married,tertiary,no,no,3,,,,,,yes
admin.,45,50000,married,tertiary,no,no,4,,,,,,yes
technician,46,60000,single,secondary,no,no,4,,,,,,yes
management,26,100000,single,secondary,no,no,2,,,,,,yes
admin.,49,50000,married,secondary,no,no,4,,,,,,yes
technician,25,60000,single,secondary,no,no,2,,,,,,yes
technician,53,60000,married,secondary,no,no,5,,,,,,yes
management,43,100000,married,tertiary,no,yes,4,,,,,,yes
technician,49,60000,married,secondary,no,yes,4,,,,,,yes
management,54,100000,married,tertiary,no,no,5,,,,,,yes
technician,47,60000,married,secondary,no,no,4,,,,,,yes
blue-collar,34,20000,married,secondary,no,no,3,,,,,,yes
services,54,70000,divorced,secondary,no,no,5,,,,,,yes
management,43,100000,divorced,tertiary,no,no,4,,,,,,yes
services,23,70000,single,secondary,no,no,2,,,,,,yes
management,48,100000,married,tertiary,no,no,4,,,,,,yes
self-employed,30,60000,single,tertiary,no,no,3,,,,,,yes
technician,38,60000,single,tertiary,yes,no,3,,,,,,yes
unemployed,38,8000,single,secondary,no,no,3,,,,,,yes
student,34,4000,single,unknown,no,no,3,,,,,,yes
admin.,52,50000,single,secondary,yes,yes,5,,,,,,yes
management,27,100000,single,tertiary,no,no,2,,,,,,yes
blue-collar,40,20000,married,secondary,no,no,4,,,,,,yes
management,47,100000,married,tertiary,no,no,4,,,,,,yes
unemployed,54,8000,divorced,secondary,no,no,5,,,,,,yes
management,26,100000,single,tertiary,no,no,2,,,,,,yes
admin.,37,50000,married,secondary,no,no,3,,,,,,yes
admin.,37,50000,married,secondary,yes,no,3,,,,,,yes
management,34,100000,married,tertiary,no,no,3,,,,,,yes
management,53,100000,married,unknown,yes,no,5,,,,,,yes
admin.,26,50000,single,tertiary,no,yes,2,,,,,,yes
management,44,100000,married,tertiary,no,no,4,,,,,,yes
management,29,100000,single,tertiary,yes,no,2,,,,,,yes
technician,26,60000,married,secondary,no,no,2,,,,,,yes
unemployed,40,8000,single,tertiary,no,no,4,,,,,,yes
management,47,100000,married,tertiary,no,no,4,,,,,,yes
blue-collar,43,20000,married,secondary,no,no,4,,,,,,yes
technician,52,60000,divorced,secondary,yes,no,5,,,,,,yes
admin.,38,50000,married,tertiary,no,no,3,,,,,,yes
services,33,70000,divorced,secondary,no,no,3,,,,,,yes
technician,50,60000,married,secondary,no,no,5,,,,,,yes
admin.,53,50000,married,secondary,no,no,5,,,,,,yes
technician,57,60000,married,primary,yes,no,5,,,,,,yes
technician,39,60000,married,secondary,yes,no,3,,,,,,yes
services,42,70000,married,secondary,yes,no,4,,,,,,yes
technician,49,60000,married,tertiary,yes,no,4,,,,,,yes
technician,27,60000,single,tertiary,no,no,2,,,,,,yes
admin.,32,50000,married,tertiary,no,no,3,,,,,,yes
technician,38,60000,married,secondary,yes,no,3,,,,,,yes
student,31,4000,single,tertiary,no,no,3,,,,,,yes
technician,29,60000,single,secondary,no,no,2,,,,,,yes
services,49,70000,married,secondary,yes,no,4,,,,,,yes
blue-collar,46,20000,married,secondary,yes,no,4,,,,,,yes
blue-collar,57,20000,married,primary,no,no,5,,,,,,yes
technician,28,60000,single,tertiary,no,no,2,,,,,,yes
entrepreneur,37,120000,married,tertiary,no,no,3,,,,,,yes
blue-collar,38,20000,married,secondary,no,no,3,,,,,,yes
management,49,100000,married,tertiary,no,no,4,,,,,,yes
technician,35,60000,married,tertiary,no,no,3,,,,,,yes
management,54,100000,married,primary,no,no,5,,,,,,yes
technician,29,60000,married,secondary,yes,no,2,,,,,,yes
technician,52,60000,married,secondary,no,no,5,,,,,,yes
unemployed,34,8000,married,secondary,no,no,3,,,,,,yes
technician,60,60000,married,secondary,no,no,6,,,,,,yes
self-employed,32,60000,married,secondary,no,no,3,,,,,,yes
student,40,4000,single,secondary,yes,no,4,,,,,,yes
self-employed,54,60000,married,tertiary,no,no,5,,,,,,yes
admin.,27,50000,single,secondary,yes,yes,2,,,,,,yes
entrepreneur,55,120000,married,secondary,no,no,5,,,,,,yes
management,29,100000,single,tertiary,no,no,2,,,,,,yes
blue-collar,42,20000,married,secondary,no,no,4,,,,,,yes
management,33,100000,divorced,tertiary,no,no,3,,,,,,yes
technician,34,60000,married,tertiary,no,no,3,,,,,,yes
management,52,100000,divorced,tertiary,no,no,5,,,,,,yes
blue-collar,29,20000,married,primary,no,no,2,,,,,,yes
admin.,39,50000,married,secondary,no,no,3,,,,,,yes
technician,31,60000,single,tertiary,no,no,3,,,,,,yes
management,60,100000,divorced,tertiary,no,no,6,,,,,,yes
student,25,4000,single,tertiary,no,no,2,,,,,,yes
admin.,45,50000,married,secondary,yes,no,4,,,,,,yes
management,29,100000,single,tertiary,yes,no,2,,,,,,yes
management,55,100000,divorced,tertiary,no,no,5,,,,,,yes
technician,26,60000,single,secondary,yes,no,2,,,,,,yes
management,30,100000,single,tertiary,no,no,3,,,,,,yes
admin.,54,50000,divorced,secondary,no,no,5,,,,,,yes
blue-collar,39,20000,single,tertiary,no,no,3,,,,,,yes
unemployed,42,8000,married,tertiary,no,no,4,,,,,,yes
management,26,100000,single,tertiary,no,no,2,,,,,,yes
retired,57,55000,married,secondary,no,no,5,,,,,,yes
unemployed,39,8000,married,tertiary,no,no,3,,,,,,yes
technician,40,60000,married,secondary,yes,no,4,,,,,,yes
blue-collar,25,20000,single,secondary,no,no,2,,,,,,yes
blue-collar,43,20000,married,primary,no,no,4,,,,,,yes
technician,36,60000,divorced,secondary,yes,no,3,,,,,,yes
management,25,100000,single,tertiary,no,no,2,,,,,,yes
technician,39,60000,married,tertiary,no,no,3,,,,,,yes
blue-collar,32,20000,married,secondary,yes,no,3,,,,,,yes
management,43,100000,divorced,tertiary,yes,no,4,,,,,,yes
management,50,100000,divorced,tertiary,no,no,5,,,,,,yes
services,35,70000,married,secondary,yes,no,3,,,,,,yes
management,37,100000,married,tertiary,yes,yes,3,,,,,,yes
management,42,100000,married,tertiary,yes,no,4,,,,,,yes
admin.,42,50000,single,secondary,no,no,4,,,,,,yes
management,27,100000,married,secondary,no,no,2,,,,,,yes
services,27,70000,single,secondary,no,no,2,,,,,,yes
management,29,100000,single,tertiary,no,no,2,,,,,,yes
student,29,4000,single,secondary,no,no,2,,,,,,yes
student,26,4000,single,secondary,no,no,2,,,,,,yes
admin.,39,50000,single,tertiary,no,no,3,,,,,,yes
services,41,70000,married,secondary,yes,yes,4,,,,,,yes
management,29,100000,married,tertiary,no,no,2,,,,,,yes
technician,33,60000,single,tertiary,yes,no,3,,,,,,yes
management,32,100000,married,tertiary,no,no,3,,,,,,yes
management,43,100000,married,tertiary,no,no,4,,,,,,yes
management,30,100000,married,tertiary,yes,no,3,,,,,,yes
technician,38,60000,single,secondary,no,no,3,,,,,,yes
admin.,55,50000,married,secondary,no,no,5,,,,,,yes
admin.,25,50000,single,secondary,no,no,2,,,,,,yes
entrepreneur,38,120000,divorced,secondary,yes,no,3,,,,,,yes
management,41,100000,divorced,tertiary,no,no,4,,,,,,yes
services,31,70000,married,secondary,no,no,3,,,,,,yes
blue-collar,35,20000,married,secondary,no,yes,3,,,,,,yes
unemployed,31,8000,married,secondary,no,no,3,,,,,,yes
services,25,70000,single,secondary,no,no,2,,,,,,yes
management,31,100000,single,tertiary,no,no,3,,,,,,yes
services,34,70000,married,secondary,no,yes,3,,,,,,yes
student,27,4000,single,secondary,no,no,2,,,,,,yes
management,30,100000,single,tertiary,no,no,3,,,,,,yes
admin.,34,50000,single,secondary,no,no,3,,,,,,yes
admin.,40,50000,single,secondary,yes,no,4,,,,,,yes
technician,57,60000,divorced,tertiary,no,no,5,,,,,,yes
admin.,46,50000,married,secondary,no,no,4,,,,,,yes
admin.,27,50000,married,secondary,no,no,2,,,,,,yes
management,28,100000,single,secondary,no,no,2,,,,,,yes
management,28,100000,single,secondary,no,no,2,,,,,,yes
admin.,35,50000,divorced,secondary,no,no,3,,,,,,yes
retired,58,55000,married,primary,no,no,5,,,,,,yes
management,57,100000,married,tertiary,no,no,5,,,,,,yes
technician,44,60000,married,tertiary,no,no,4,,,,,,yes
services,25,70000,single,secondary,no,no,2,,,,,,yes
retired,57,55000,married,secondary,no,no,5,,,,,,yes
self-employed,25,60000,single,tertiary,yes,no,2,,,,,,yes
student,21,4000,single,secondary,no,no,2,,,,,,yes
technician,49,60000,married,secondary,no,no,4,,,,,,yes
management,54,100000,married,tertiary,no,no,5,,,,,,yes
retired,59,55000,married,primary,no,no,5,,,,,,yes
management,28,100000,single,tertiary,yes,no,2,,,,,,yes
blue-collar,37,20000,married,secondary,no,no,3,,,,,,yes
housemaid,55,16000,married,unknown,no,no,5,,,,,,yes
technician,30,60000,single,tertiary,yes,no,3,,,,,,yes
management,35,100000,single,tertiary,no,no,3,,,,,,yes
housemaid,35,16000,single,primary,no,no,3,,,,,,yes
management,31,100000,single,tertiary,no,no,3,,,,,,yes
unemployed,41,8000,single,primary,no,no,4,,,,,,yes
management,55,100000,divorced,tertiary,yes,no,5,,,,,,yes
unemployed,30,8000,single,tertiary,no,no,3,,,,,,yes
self-employed,28,60000,single,tertiary,no,no,2,,,,,,yes
blue-collar,31,20000,married,secondary,no,yes,3,,,,,,yes
unemployed,31,8000,single,secondary,yes,no,3,,,,,,yes
management,53,100000,divorced,tertiary,no,yes,5,,,,,,yes
management,57,100000,married,tertiary,no,no,5,,,,,,yes
blue-collar,22,20000,single,secondary,no,no,2,,,,,,yes
services,36,70000,married,primary,yes,no,3,,,,,,yes
technician,33,60000,single,secondary,no,no,3,,,,,,yes
unknown,37,0,single,tertiary,no,no,3,,,,,,yes
technician,46,60000,married,secondary,no,yes,4,,,,,,yes
technician,31,60000,single,tertiary,no,no,3,,,,,,yes
admin.,49,50000,married,tertiary,no,no,4,,,,,,yes
self-employed,51,60000,married,unknown,no,no,5,,,,,,yes
technician,34,60000,married,secondary,yes,no,3,,,,,,yes
blue-collar,35,20000,married,primary,no,no,3,,,,,,yes
management,35,100000,married,tertiary,no,no,3,,,,,,yes
admin.,32,50000,single,tertiary,no,no,3,,,,,,yes
unemployed,50,8000,married,secondary,no,no,5,,,,,,yes
entrepreneur,36,120000,divorced,tertiary,no,no,3,,,,,,yes
management,31,100000,single,tertiary,no,no,3,,,,,,yes
management,41,100000,married,tertiary,no,no,4,,,,,,yes
technician,25,60000,single,tertiary,no,no,2,,,,,,yes
management,24,100000,single,tertiary,no,no,2,,,,,,yes
services,42,70000,married,tertiary,no,no,4,,,,,,yes
services,25,70000,single,tertiary,no,no,2,,,,,,yes
management,60,100000,married,secondary,no,no,6,,,,,,yes
self-employed,40,60000,single,tertiary,no,no,4,,,,,,yes
management,50,100000,married,tertiary,no,no,5,,,,,,yes
technician,34,60000,married,tertiary,yes,no,3,,,,,,yes
admin.,31,50000,single,secondary,yes,no,3,,,,,,yes
management,32,100000,single,tertiary,yes,no,3,,,,,,yes
admin.,60,50000,married,secondary,no,no,6,,,,,,yes
services,32,70000,married,secondary,no,no,3,,,,,,yes
entrepreneur,52,120000,married,secondary,no,no,5,,,,,,yes
blue-collar,34,20000,divorced,unknown,no,no,3,,,,,,yes
technician,59,60000,married,secondary,no,no,5,,,,,,yes
retired,56,55000,married,secondary,yes,no,5,,,,,,yes
management,47,100000,single,tertiary,no,no,4,,,,,,yes
management,43,100000,married,tertiary,no,no,4,,,,,,yes
services,25,70000,single,secondary,no,no,2,,,,,,yes
self-employed,35,60000,single,tertiary,no,no,3,,,,,,yes
student,31,4000,single,secondary,no,no,3,,,,,,yes
management,27,100000,single,tertiary,no,no,2,,,,,,yes
admin.,26,50000,married,secondary,no,no,2,,,,,,yes
admin.,37,50000,single,tertiary,yes,no,3,,,,,,yes
admin.,27,50000,single,tertiary,no,no,2,,,,,,yes
management,49,100000,married,tertiary,no,no,4,,,,,,yes
management,26,100000,single,tertiary,no,no,2,,,,,,yes
technician,37,60000,married,unknown,no,no,3,,,,,,yes
management,28,100000,single,tertiary,no,no,2,,,,,,yes
blue-collar,33,20000,married,secondary,yes,yes,3,,,,,,yes
technician,31,60000,married,unknown,no,no,3,,,,,,yes
admin.,28,50000,single,secondary,no,no,2,,,,,,yes
services,32,70000,married,secondary,yes,yes,3,,,,,,yes
services,27,70000,single,secondary,no,no,2,,,,,,yes
admin.,59,50000,married,secondary,no,no,5,,,,,,yes
management,30,100000,single,tertiary,no,no,3,,,,,,yes
technician,30,60000,single,secondary,no,no,3,,,,,,yes
management,34,100000,married,tertiary,no,no,3,,,,,,yes
self-employed,38,60000,single,tertiary,no,no,3,,,,,,yes
retired,58,55000,married,primary,no,no,5,,,,,,yes
management,34,100000,married,tertiary,yes,yes,3,,,,,,yes
services,26,70000,single,secondary,no,no,2,,,,,,yes
retired,59,55000,married,primary,no,no,5,,,,,,yes
management,49,100000,single,tertiary,no,no,4,,,,,,yes
self-employed,28,60000,single,tertiary,no,no,2,,,,,,yes
management,57,100000,married,tertiary,no,no,5,,,,,,yes
retired,83,55000,married,primary,no,no,8,,,,,,yes
management,61,100000,married,tertiary,no,no,6,,,,,,yes
retired,64,55000,married,secondary,yes,no,6,,,,,,yes
admin.,37,50000,married,secondary,yes,yes,3,,,,,,yes
retired,68,55000,married,secondary,no,no,6,,,,,,yes
admin.,58,50000,married,secondary,yes,no,5,,,,,,yes
retired,71,55000,married,tertiary,no,no,7,,,,,,yes
management,54,100000,married,tertiary,no,no,5,,,,,,yes
management,37,100000,married,tertiary,no,no,3,,,,,,yes
student,22,4000,single,unknown,no,no,2,,,,,,yes
management,44,100000,married,tertiary,no,no,4,,,,,,yes
entrepreneur,37,120000,married,tertiary,no,yes,3,,,,,,yes
self-employed,72,60000,married,tertiary,no,no,7,,,,,,yes
retired,78,55000,divorced,primary,no,no,7,,,,,,yes
services,26,70000,single,tertiary,no,yes,2,,,,,,yes
retired,69,55000,divorced,primary,no,no,6,,,,,,yes
blue-collar,41,20000,married,secondary,no,no,4,,,,,,yes
blue-collar,44,20000,married,secondary,yes,no,4,,,,,,yes
services,32,70000,single,secondary,no,no,3,,,,,,yes
retired,79,55000,married,secondary,no,no,7,,,,,,yes
technician,33,60000,married,secondary,yes,no,3,,,,,,yes
management,45,100000,married,tertiary,no,no,4,,,,,,yes
management,40,100000,married,tertiary,yes,no,4,,,,,,yes
management,30,100000,single,tertiary,no,no,3,,,,,,yes
entrepreneur,42,120000,married,secondary,yes,no,4,,,,,,yes
technician,30,60000,single,secondary,no,no,3,,,,,,yes
management,28,100000,single,tertiary,yes,no,2,,,,,,yes
housemaid,58,16000,divorced,secondary,no,no,5,,,,,,yes
management,28,100000,single,tertiary,no,no,2,,,,,,yes
admin.,39,50000,divorced,secondary,yes,no,3,,,,,,yes
blue-collar,31,20000,married,secondary,yes,no,3,,,,,,yes
admin.,45,50000,married,unknown,no,no,4,,,,,,yes
blue-collar,56,20000,married,primary,no,no,5,,,,,,yes
management,46,100000,divorced,tertiary,no,no,4,,,,,,yes
retired,56,55000,married,secondary,no,no,5,,,,,,yes
services,27,70000,single,secondary,no,no,2,,,,,,yes
unemployed,30,8000,married,tertiary,no,no,3,,,,,,yes
self-employed,26,60000,single,tertiary,no,no,2,,,,,,yes
unemployed,35,8000,single,primary,no,no,3,,,,,,yes
blue-collar,52,20000,married,primary,no,no,5,,,,,,yes
admin.,54,50000,married,secondary,no,no,5,,,,,,yes
admin.,25,50000,single,secondary,no,no,2,,,,,,yes
entrepreneur,41,120000,married,primary,no,no,4,,,,,,yes
management,24,100000,single,tertiary,no,no,2,,,,,,yes
services,35,70000,single,tertiary,no,no,3,,,,,,yes
blue-collar,28,20000,single,secondary,no,no,2,,,,,,yes
management,62,100000,married,tertiary,no,no,6,,,,,,yes
technician,52,60000,married,secondary,no,no,5,,,,,,yes
services,23,70000,single,secondary,no,no,2,,,,,,yes
retired,82,55000,married,primary,no,no,8,,,,,,yes
retired,63,55000,married,secondary,no,no,6,,,,,,yes
admin.,32,50000,married,secondary,yes,yes,3,,,,,,yes
management,31,100000,married,tertiary,no,no,3,,,,,,yes
management,48,100000,married,secondary,no,no,4,,,,,,yes
services,37,70000,married,secondary,no,no,3,,,,,,yes
technician,40,60000,single,tertiary,no,no,4,,,,,,yes
retired,66,55000,married,secondary,no,no,6,,,,,,yes
management,37,100000,married,tertiary,no,no,3,,,,,,yes
unemployed,38,8000,married,primary,yes,no,3,,,,,,yes
student,27,4000,single,secondary,no,no,2,,,,,,yes
retired,58,55000,married,primary,no,no,5,,,,,,yes
housemaid,49,16000,married,primary,no,no,4,,,,,,yes
technician,51,60000,married,secondary,no,no,5,,,,,,yes
management,31,100000,single,secondary,yes,no,3,,,,,,yes
management,31,100000,single,tertiary,no,no,3,,,,,,yes
student,38,4000,married,unknown,no,no,3,,,,,,yes
retired,79,55000,married,primary,no,no,7,,,,,,yes
retired,71,55000,married,tertiary,no,no,7,,,,,,yes
technician,52,60000,married,tertiary,no,no,5,,,,,,yes
management,55,100000,married,unknown,no,no,5,,,,,,yes
blue-collar,46,20000,married,secondary,yes,no,4,,,,,,yes
management,28,100000,single,tertiary,no,no,2,,,,,,yes
blue-collar,24,20000,single,secondary,no,no,2,,,,,,yes
student,22,4000,single,secondary,no,no,2,,,,,,yes
management,49,100000,single,tertiary,yes,no,4,,,,,,yes
student,20,4000,single,unknown,no,no,2,,,,,,yes
student,19,4000,single,primary,no,no,1,,,,,,yes
blue-collar,34,20000,single,primary,no,no,3,,,,,,yes
management,73,100000,married,tertiary,no,no,7,,,,,,yes
management,27,100000,single,tertiary,no,no,2,,,,,,yes
blue-collar,59,20000,divorced,primary,no,no,5,,,,,,yes
student,25,4000,single,tertiary,no,no,2,,,,,,yes
entrepreneur,44,120000,single,unknown,no,no,4,,,,,,yes
management,42,100000,single,tertiary,no,no,4,,,,,,yes
management,28,100000,single,tertiary,no,no,2,,,,,,yes
admin.,46,50000,divorced,secondary,no,no,4,,,,,,yes
management,25,100000,single,tertiary,no,no,2,,,,,,yes
management,28,100000,married,tertiary,no,no,2,,,,,,yes
retired,61,55000,married,secondary,no,no,6,,,,,,yes
admin.,52,50000,married,secondary,yes,yes,5,,,,,,yes
management,57,100000,married,tertiary,no,no,5,,,,,,yes
management,49,100000,divorced,tertiary,no,no,4,,,,,,yes
technician,33,60000,married,tertiary,no,no,3,,,,,,yes
technician,47,60000,married,secondary,yes,no,4,,,,,,yes
retired,68,55000,married,secondary,yes,no,6,,,,,,yes
technician,40,60000,single,tertiary,yes,no,4,,,,,,yes
management,46,100000,married,tertiary,no,no,4,,,,,,yes
technician,29,60000,single,secondary,no,no,2,,,,,,yes
management,55,100000,divorced,tertiary,no,no,5,,,,,,yes
self-employed,30,60000,married,tertiary,no,no,3,,,,,,yes
admin.,49,50000,divorced,secondary,no,yes,4,,,,,,yes
management,48,100000,married,tertiary,no,no,4,,,,,,yes
student,21,4000,single,secondary,no,no,2,,,,,,yes
admin.,45,50000,married,secondary,no,no,4,,,,,,yes
management,43,100000,married,tertiary,no,no,4,,,,,,yes
management,47,100000,single,tertiary,no,no,4,,,,,,yes
management,27,100000,single,tertiary,no,no,2,,,,,,yes
student,20,4000,married,unknown,no,no,2,,,,,,yes
housemaid,47,16000,married,secondary,yes,no,4,,,,,,yes
unemployed,37,8000,single,tertiary,no,no,3,,,,,,yes
management,36,100000,married,tertiary,no,no,3,,,,,,yes
management,61,100000,married,tertiary,no,no,6,,,,,,yes
management,53,100000,married,tertiary,no,no,5,,,,,,yes
retired,61,55000,married,tertiary,yes,yes,6,,,,,,yes
services,57,70000,single,secondary,no,no,5,,,,,,yes
management,40,100000,married,tertiary,no,no,4,,,,,,yes
admin.,53,50000,divorced,secondary,yes,yes,5,,,,,,yes
retired,73,55000,married,primary,no,no,7,,,,,,yes
unknown,65,0,married,unknown,no,no,6,,,,,,yes
retired,67,55000,married,tertiary,no,no,6,,,,,,yes
retired,66,55000,married,tertiary,no,no,6,,,,,,yes
management,67,100000,married,tertiary,no,no,6,,,,,,yes
retired,57,55000,married,secondary,no,no,5,,,,,,yes
admin.,38,50000,married,tertiary,no,no,3,,,,,,yes
admin.,47,50000,married,unknown,no,no,4,,,,,,yes
management,56,100000,divorced,tertiary,no,no,5,,,,,,yes
management,46,100000,married,tertiary,no,yes,4,,,,,,yes
student,32,4000,married,secondary,no,no,3,,,,,,yes
technician,69,60000,married,secondary,no,no,6,,,,,,yes
services,32,70000,single,secondary,no,no,3,,,,,,yes
retired,72,55000,married,tertiary,no,no,7,,,,,,yes
admin.,41,50000,married,tertiary,no,no,4,,,,,,yes
retired,72,55000,married,primary,no,no,7,,,,,,yes
unemployed,33,8000,married,secondary,no,no,3,,,,,,yes
admin.,37,50000,married,secondary,no,no,3,,,,,,yes
management,26,100000,single,tertiary,no,no,2,,,,,,yes
retired,77,55000,married,secondary,no,no,7,,,,,,yes
management,34,100000,married,tertiary,yes,no,3,,,,,,yes
admin.,44,50000,single,secondary,no,no,4,,,,,,yes
services,42,70000,single,secondary,yes,no,4,,,,,,yes
unemployed,58,8000,married,secondary,yes,no,5,,,,,,yes
technician,34,60000,married,tertiary,no,no,3,,,,,,yes
entrepreneur,55,120000,divorced,secondary,yes,no,5,,,,,,yes
retired,71,55000,married,primary,no,no,7,,,,,,yes
management,41,100000,married,tertiary,no,no,4,,,,,,yes
student,23,4000,single,secondary,no,no,2,,,,,,yes
management,60,100000,single,tertiary,yes,no,6,,,,,,yes
student,18,4000,single,unknown,no,no,1,,,,,,yes
technician,54,60000,married,secondary,no,no,5,,,,,,yes
